taxon_rank,taxon_name,count
family,Pyrgomorphidae,9
family,Cymbuliidae,9
family,Diogenidae,8
family,Thymelaeaceae,8
family,Anomiidae,8
family,Xanthorrhoeaceae,8
family,Recurvirostridae,8
family,Arcidae,8
family,Upupidae,8
family,Tellinidae,7
family,Percnidae,7
family,Holothuriidae,7
family,Alaudidae,7
family,Felidae,7
family,Delphinidae,7
family,Tamaricaceae,7
family,Chrysomelidae,7
family,Colubridae,6
family,Psittacidae,6
family,Sturnidae,6
family,Asteriidae,6
family,Alcidae,6
family,Aequoreidae,6
family,Thomisidae,6
family,Oedemeridae,6
family,Cetoniidae,6
family,Pittosporaceae,6
family,Malvaceae,6
family,Pyrrhocoridae,6
family,Nassariidae,6
family,Stypocaulaceae,5
family,Scoliidae,5
family,Dynastidae,5
family,Styelidae,5
family,Ascidiidae,5
family,Aeshnidae,5
family,Bombyliidae,5
family,Boraginaceae,5
family,Dasytidae,5
family,Apodidae,5
family,Oxalidaceae,5
family,Laniidae,5
family,Melolonthidae,5
family,Cuscutaceae,5
family,Dipsacaceae,5
family,Turritellidae,5
family,Rubiaceae,5
family,Cerithiidae,5
family,Trochidae,5
family,Arecaceae,4
family,Papaveraceae,4
family,Calliphoridae,4
family,Procellariidae,4
family,Cassidae,4
family,Irciniidae,4
family,Chthamalidae,4
family,Cymodoceaceae,4
family,Papilionidae,4
family,Chromodorididae,4
family,Upogebiidae,4
family,Phoenicopteridae,4
family,Cistaceae,3
family,Amaranthaceae,3
family,Coraciidae,3
family,Littorinidae,3
family,Clionaidae,3
family,Lycosidae,3
family,Cactaceae,3
family,Scarabaeidae,3
family,Solanaceae,3
family,Zygophyllaceae,3
family,Collozoidae,3
family,Aglaopheniidae,3
family,Geometridae,3
family,Iridaceae,3
family,Ulmaridae,3
family,Solenidae,3
family,Codiaceae,3
family,Janthinidae,3
family,Anacardiaceae,3
family,Ranellidae,2
family,Synaptidae,2
family,Emydidae,2
family,Sarcophagidae,2
family,Cantharidae,2
family,Cerambycidae,2
family,Fissurellidae,2
family,Ligiidae,2
family,Primulaceae,2
family,Pinnidae,2
family,Notodontidae,2
family,Crassulaceae,2
family,Rosaceae,2
family,Estrildidae,2
family,Mutillidae,2
family,Sagartiidae,2
family,Myrmeleontidae,2
family,Loliginidae,2
family,Eremiaphilidae,2
family,Arctiidae,2
family,Hexanchidae,2
family,Stenocephalidae,2
family,Argidae,2
family,Coenagrionidae,2
family,Lampyridae,2
family,Epialtidae,2
family,Aplysiidae,2
family,Portulacaceae,2
family,Astropectinidae,2
family,Asclepiadaceae,2
family,Ommastrephidae,2
family,Didemnidae,2
family,Suillaceae,2
family,Watersiporidae,2
family,Tricholomataceae,2
family,Gryllidae,2
family,Hygromiidae,1
family,Diphyidae,1
family,Palaemonidae,1
family,Salicaceae,1
family,Mantidae,1
family,Corbiculidae,1
family,Araneidae,1
family,Halictidae,1
family,Pyuridae,1
family,Moraceae,1
family,Erythraeidae,1
family,Aphididae,1
family,Therevidae,1
family,Fumariaceae,1
family,Veretillidae,1
family,Ichneumonidae,1
family,Paridae,1
family,Mesodesmatidae,1
family,Oleaceae,1
family,Cymothoidae,1
family,Cisticolidae,1
family,Aegithalidae,1
family,Mucoraceae,1
family,Pteriidae,1
family,Aeolidiidae,1
family,Cucurbitaceae,1
family,Emberizidae,1
family,Sulidae,1
family,Alcedinidae,1
family,Cancellariidae,1
family,Echinasteridae,1
family,Cutleriaceae,1
family,Mysidae,1
family,Facelinidae,1
family,Canidae,1
family,Pompilidae,1
family,Rhiniidae,1
family,Rhyparochromidae,1
family,Plutellidae,1
family,Myrtaceae,1
family,Elaeagnaceae,1
family,Cicadidae,1
family,Orobanchaceae,1
family,Solecurtidae,1
family,Geraniaceae,1
family,Idoteidae,1
family,Zodariidae,1
family,Glareolidae,1
family,Campanulariidae,1
family,Pleurobranchidae,1
family,Andrenidae,1
family,Dysderidae,1
family,Polybiidae,1
family,Rutelidae,1
family,Dryophthoridae,1
family,Hildenbrandiaceae,1
family,Chamidae,1
family,Coreidae,1
family,Semelidae,1
family,Burhinidae,1
family,Lygaeidae,1
family,Porcellanidae,1
family,Spondylidae,1
family,Hippopodiidae,1
family,Centrophoridae,1
family,Tettigoniidae,1
family,Nyctaginaceae,1
family,Lucinidae,1
family,Tachinidae,1
family,Amanitaceae,1
family,Agaricaceae,1
family,Ulidiidae,1
family,Pisauridae,1
genus,Acanthocardia,116
genus,Spisula,111
genus,Velella,99
genus,Stramonita,91
genus,Ichthyaetus,88
genus,Sepia,86
genus,Paracentrotus,82
genus,Echinophora,75
genus,Pancratium,65
genus,Cakile,58
genus,Pelagia,56
genus,Oenothera,56
genus,Mytilus,55
genus,Posidonia,53
genus,Glycymeris,53
genus,Medicago,52
genus,Ellisolandia,50
genus,Falco,49
genus,Patella,49
genus,Agave,48
genus,Donax,47
genus,Dictyota,47
genus,Arbacia,47
genus,Eryngium,46
genus,Calystegia,45
genus,Rhizostoma,45
genus,Gazania,44
genus,Phalacrocorax,43
genus,Phoenicurus,43
genus,Anemonia,43
genus,Carpobrotus,42
genus,Charadrius,41
genus,Lotus,39
genus,Brithys,37
genus,Padina,36
genus,Perforatus,35
genus,Gulosus,34
genus,Ammophila,32
genus,Chamelea,32
genus,Larus,32
genus,Centaurea,30
genus,Arctotheca,30
genus,Pachygrapsus,29
genus,Xanthium,27
genus,Passer,26
genus,Marcus-kochia,25
genus,Schizoporella,25
genus,Heteracris,25
genus,Ensis,23
genus,Euphorbia,22
genus,Sympetrum,22
genus,Buteo,22
genus,Octopus,22
genus,Podarcis,21
genus,Motacilla,21
genus,Vanessa,21
genus,Salsola,20
genus,Sphingonotus,20
genus,Crithmum,20
genus,Erithacus,19
genus,Calidris,19
genus,Apis,19
genus,Pontia,19
genus,Yucca,19
genus,Lithophyllum,18
genus,Saxicola,18
genus,Arundo,17
genus,Eriphia,17
genus,Ulva,17
genus,Lepas,17
genus,Pieris,16
genus,Aiptasia,16
genus,Dittrichia,16
genus,Mactra,16
genus,Jania,16
genus,Callinectes,16
genus,Branchiomma,16
genus,Colpomenia,16
genus,Cotylorhiza,16
genus,Rhodanthidium,15
genus,Thalasseus,15
genus,Bombus,15
genus,Cyperus,15
genus,Polygonum,15
genus,Pennaria,15
genus,Lantana,15
genus,Scyliorhinus,14
genus,Graphosoma,14
genus,Egretta,14
genus,Cenchrus,14
genus,Polyommatus,14
genus,Chorthippus,13
genus,Ononis,13
genus,Vespa,13
genus,Lophyra,13
genus,Sporobolus,13
genus,Paronychia,13
genus,Lasiommata,13
genus,Erodius,12
genus,Coccinella,12
genus,Carduelis,12
genus,Silene,12
genus,Tarentola,12
genus,Curruca,12
genus,Columba,12
genus,Plegadis,11
genus,Amathia,11
genus,Tachybaptus,11
genus,Oculina,11
genus,Juncus,11
genus,Echinocardium,11
genus,Myoporum,11
genus,Aporrhais,11
genus,Psammodromus,11
genus,Serinus,11
genus,Raja,10
genus,Asparagus,10
genus,Ardea,10
genus,Zygaena,10
genus,Carcinus,10
genus,Leptotes,10
genus,Matthiola,10
genus,Ostrea,10
genus,Pica,10
genus,Pinus,10
