id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
448768,604257,insecta,Pieris rapae,https://minka-sdg.org/attachments/local_photos/files/604257/medium.jpg,jaume-piera,41.2645873667,1.9898234833,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448768_604257.jpg
448767,604256,plantae,Marcus-kochia littorea,https://minka-sdg.org/attachments/local_photos/files/604256/medium.jpg,jaume-piera,41.264566,1.9897654833,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448767_604256.jpg
448766,604255,plantae,Cuscuta,https://minka-sdg.org/attachments/local_photos/files/604255/medium.jpg,jaume-piera,41.2646080667,1.9900956167,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448766_604255.jpg
448765,604254,plantae,Arctotheca calendula,https://minka-sdg.org/attachments/local_photos/files/604254/medium.jpg,jaume-piera,41.2646790667,1.9900061833,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448765_604254.jpg
448764,604253,aves,Sturnus vulgaris,https://minka-sdg.org/attachments/local_photos/files/604253/medium.jpg,jaume-piera,41.2646546333,1.9900394667,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448764_604253.jpg
448763,604252,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/604252/medium.jpg,jaume-piera,41.2645105833,1.9902928833,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448763_604252.jpg
448761,604250,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/604250/medium.jpg,jaume-piera,41.2645511167,1.9906447833,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448761_604250.jpg
448760,604249,plantae,Calystegia soldanella,https://minka-sdg.org/attachments/local_photos/files/604249/medium.jpg,jaume-piera,41.2644935,1.99103035,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448760_604249.jpg
448759,604248,plantae,Echinophora spinosa,https://minka-sdg.org/attachments/local_photos/files/604248/medium.jpg,jaume-piera,41.2644955833,1.9909289,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448759_604248.jpg
448758,604247,aves,Pica pica,https://minka-sdg.org/attachments/local_photos/files/604247/medium.jpg,jaume-piera,41.2648369167,1.9910606167,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448758_604247.jpg
448757,604246,plantae,Medicago littoralis,https://minka-sdg.org/attachments/local_photos/files/604246/medium.jpg,jaume-piera,41.26481735,1.99105115,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448757_604246.jpg
448756,604245,plantae,Pancratium maritimum,https://minka-sdg.org/attachments/local_photos/files/604245/medium.jpg,jaume-piera,41.2648719833,1.9910776167,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448756_604245.jpg
448755,604244,plantae,Eryngium maritimum,https://minka-sdg.org/attachments/local_photos/files/604244/medium.jpg,jaume-piera,41.2648501333,1.9910670333,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448755_604244.jpg
448754,604243,plantae,Plantago lagopus,https://minka-sdg.org/attachments/local_photos/files/604243/medium.jpg,jaume-piera,41.2648564667,1.9910701,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448754_604243.jpg
448753,604242,plantae,Echium,https://minka-sdg.org/attachments/local_photos/files/604242/medium.jpg,jaume-piera,41.2649076333,1.9910949,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448753_604242.jpg
448752,604241,plantae,Plantago lagopus,https://minka-sdg.org/attachments/local_photos/files/604241/medium.jpg,jaume-piera,41.2649243167,1.9911029833,cc-by-nc,"(c) Jaume Piera, some rights reserved (CC BY-NC)",448752_604241.jpg
447783,603305,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/603305/medium.jpg,carlosrodero,41.264532524,1.9903462753,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447783_603305.jpg
447783,603304,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/603304/medium.jpg,carlosrodero,41.264532524,1.9903462753,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447783_603304.jpg
447783,603307,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/603307/medium.jpg,carlosrodero,41.264532524,1.9903462753,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447783_603307.jpg
447783,603303,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/603303/medium.jpg,carlosrodero,41.264532524,1.9903462753,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447783_603303.jpg
447783,603306,insecta,Apis mellifera,https://minka-sdg.org/attachments/local_photos/files/603306/medium.jpg,carlosrodero,41.264532524,1.9903462753,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447783_603306.jpg
447782,603301,plantae,Lotus creticus,https://minka-sdg.org/attachments/local_photos/files/603301/medium.jpg,carlosrodero,41.2644748119,1.9890608266,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447782_603301.jpg
447782,603300,plantae,Lotus creticus,https://minka-sdg.org/attachments/local_photos/files/603300/medium.jpg,carlosrodero,41.2644748119,1.9890608266,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447782_603300.jpg
447782,603302,plantae,Lotus creticus,https://minka-sdg.org/attachments/local_photos/files/603302/medium.jpg,carlosrodero,41.2644748119,1.9890608266,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447782_603302.jpg
447741,603297,plantae,Arctotheca calendula,https://minka-sdg.org/attachments/local_photos/files/603297/medium.jpg,carlosrodero,41.264575115,1.9902959839,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447741_603297.jpg
447741,603299,plantae,Arctotheca calendula,https://minka-sdg.org/attachments/local_photos/files/603299/medium.jpg,carlosrodero,41.264575115,1.9902959839,cc-by-nc,"(c) Carlos Rodero, some rights reserved (CC BY-NC)",447741_603299.jpg
